Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,Company,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
2.829,56.57,30,8.0,5.0,1.0,1000.0,0.0,freseniusMedicalCareAgI,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.88,56.39,20,9.0,5.0,1.0,1000.0,0.0,hsbc,3.0,3.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.402,54.02,20,2.0,1.0,4.0,1000.0,10.0,leidosHoldingsInc,1.0,0.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.327,53.07,50,3.0,1.0,2.0,1000.0,0.0,intercontinentalHotelsGroup,4.0,2.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.583,51.66,80,2.0,1.0,3.0,1000.0,10.0,manitouBF,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.078,50.78,30,9.0,5.0,1.0,1000.0,10.0,avalonbayCommunitiesInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.257,50.27,80,6.0,1.0,4.0,1000.0,50.0,kering,4.0,3.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.018,50.18,70,9.0,2.0,1.0,1000.0,0.0,targaResourcesInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.842,48.42,100,7.0,1.0,2.0,1000.0,0.0,matchGroupInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.374,44.88,100,9.0,1.0,4.0,1000.0,40.0,hannoverRueckSeNaON,12.0,4.0,0.0,8.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.48,44.8,10,4.0,5.0,1.0,1000.0,0.0,ironMountainIncorporatedDel,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.457,44.57,40,5.0,5.0,1.0,1000.0,20.0,53270,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.428,44.28,30,3.0,5.0,1.0,1000.0,10.0,publicStorage,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.188,43.76,100,4.0,1.0,3.0,1000.0,40.0,expandEnergyCorporation,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.232,42.32,60,4.0,5.0,1.0,1000.0,60.0,freeportMcmoranInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
